,usageKey,acceptedUsageKey,scientificName,canonicalName,verbatim_name,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,verbatim_index
1,2288348,11005809,"Leptodea ochracea (Say, 1817)",Leptodea ochracea,Leptodea ochracea,SPECIES,SYNONYM,98,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Atlanticoncha,Atlanticoncha ochracea,1,52,137,9301143,3461,10941835,11005809,TRUE,1
2,2288371,NA,"Obovaria olivaria (Rafinesque, 1820)",Obovaria olivaria,Obovaria olivaria,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Obovaria,Obovaria olivaria,1,52,137,9301143,3461,2288363,2288371,FALSE,2
3,2286709,NA,"Sphaerium corneum (Linnaeus, 1758)",Sphaerium corneum,Sphaerium corneum,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Sphaerium,Sphaerium corneum,1,52,137,10495862,3247675,2286706,2286709,FALSE,3
4,2290996,NA,"Gyraulus parvus (Say, 1817)",Gyraulus parvus,Gyraulus parvus,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Gyraulus,Gyraulus parvus,1,52,225,NA,2851,2290991,2290996,FALSE,4
5,8190231,NA,"Corbicula fluminea (O.F.Müller, 1774)",Corbicula fluminea,Corbicula fluminea,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula fluminea,1,52,137,9310756,6527076,2286732,8190231,FALSE,5
6,5192470,NA,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Potamopyrgus antipodarum,Potamopyrgus antipodarum,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Potamopyrgus antipodarum,1,52,225,7390893,8407314,5192469,5192470,FALSE,6
7,5189789,NA,"Physella gyrina (Say, 1821)",Physella gyrina,Physella gyrina,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Physidae,Physella,Physella gyrina,1,52,225,NA,6798,9619305,5189789,FALSE,7
8,2291334,NA,"Pseudosuccinea columella (Say, 1817)",Pseudosuccinea columella,Pseudosuccinea columella,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Pseudosuccinea,Pseudosuccinea columella,1,52,225,NA,2852,2291333,2291334,FALSE,8
9,2717002,NA,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris,Eleocharis palustris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis palustris,6,7707728,196,1369,7708,2716791,2717002,FALSE,9
10,5289756,NA,Phalaris arundinacea L.,Phalaris arundinacea,Phalaris arundinacea,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phalaris,Phalaris arundinacea,6,7707728,196,1369,3073,2703277,5289756,FALSE,10
11,2702905,NA,Leersia oryzoides (L.) Sw.,Leersia oryzoides,Leersia oryzoides,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Leersia,Leersia oryzoides,6,7707728,196,1369,3073,8001519,2702905,FALSE,11
12,3033374,NA,Ranunculus sceleratus L.,Ranunculus sceleratus,Ranunculus sceleratus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus sceleratus,6,7707728,220,399,2410,3033294,3033374,FALSE,12
13,5301200,NA,Potamogeton perfoliatus L.,Potamogeton perfoliatus,Potamogeton perfoliatus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,6,7707728,196,551,6721,2756560,5301200,FALSE,13
14,2718307,NA,Bolboschoenus maritimus (L.) Palla,Bolboschoenus maritimus,Bolboschoenus maritimus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Bolboschoenus,Bolboschoenus maritimus,6,7707728,196,1369,7708,2718273,2718307,FALSE,14
15,5361779,NA,Myriophyllum verticillatum L.,Myriophyllum verticillatum,Myriophyllum verticillatum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum verticillatum,6,7707728,220,7219248,6694,2984253,5361779,FALSE,15
16,2889262,NA,Persicaria lapathifolia (L.) Gray,Persicaria lapathifolia,Persicaria lapathifolia,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria lapathifolia,6,7707728,220,422,2416,6390748,2889262,FALSE,16
17,2705315,NA,Catabrosa aquatica (L.) P.Beauv.,Catabrosa aquatica,Catabrosa aquatica,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Catabrosa,Catabrosa aquatica,6,7707728,196,1369,3073,2705314,2705315,FALSE,17
18,5366090,NA,Potentilla supina L.,Potentilla supina,Potentilla supina,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla supina,6,7707728,220,691,5015,8079058,5366090,FALSE,18
1360,2402192,NA,"Acipenser brevirostrum Lesueur, 1818",Acipenser brevirostrum,Acipenser brevirostrum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser brevirostrum,1,44,NA,1103,2947,2340025,2402192,FALSE,1360
400,2402120,NA,"Acipenser fulvescens Rafinesque, 1817",Acipenser fulvescens,Acipenser fulvescens,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,1,44,NA,1103,2947,2340025,2402120,FALSE,400
21,9738098,NA,"Cipangopaludina chinensis (J.E.Gray, 1833)",Cipangopaludina chinensis,Cipangopaludina chinensis,SPECIES,ACCEPTED,98,EXACT,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Cipangopaludina,Cipangopaludina chinensis,1,52,225,455,2855,2292565,9738098,FALSE,21
22,2291156,2291157,Ferrissia parallela (Haldeman),Ferrissia parallela,Ferrissia parallela,SPECIES,SYNONYM,98,EXACT,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Ferrissia,Ferrissia rivularis,1,52,225,NA,2851,2093879,2291157,TRUE,22
1359,2402118,NA,"Acipenser medirostris Ayres, 1854",Acipenser medirostris,Acipenser medirostris,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris,1,44,NA,1103,2947,2340025,2402118,FALSE,1359
24,5421095,NA,Elatine triandra Schkuhr,Elatine triandra,Elatine triandra,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Elatinaceae,Elatine,Elatine triandra,6,7707728,220,1414,6644,3189645,5421095,FALSE,24
25,5372503,NA,Hippuris vulgaris L.,Hippuris vulgaris,Hippuris vulgaris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Hippuris,Hippuris vulgaris,6,7707728,220,408,2420,3039572,5372503,FALSE,25
26,6435002,NA,Nuphar pumila (Timm) DC.,Nuphar pumila,Nuphar pumila,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nuphar,Nuphar pumila,6,7707728,220,636,2423,2882408,6435002,FALSE,26
27,5301204,NA,Potamogeton friesii Rupr.,Potamogeton friesii,Potamogeton friesii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton friesii,6,7707728,196,551,6721,2756560,5301204,FALSE,27
28,3172104,NA,Veronica peregrina L.,Veronica peregrina,Veronica peregrina,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica peregrina,6,7707728,220,408,2420,3172047,3172104,FALSE,28
29,5329454,NA,Najas gracillima (A.Braun ex Engelm.) Magnus,Najas gracillima,Najas gracillima,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Najas,Najas gracillima,6,7707728,196,551,3721,2865618,5329454,FALSE,29
30,3189080,NA,Epilobium palustre L.,Epilobium palustre,Epilobium palustre,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium palustre,6,7707728,220,690,2430,3189067,3189080,FALSE,30
31,5290059,NA,Beckmannia syzigachne (Steud.) Fernald,Beckmannia syzigachne,Beckmannia syzigachne,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Beckmannia,Beckmannia syzigachne,6,7707728,196,1369,3073,2705202,5290059,FALSE,31
32,3191030,NA,Drosera rotundifolia L.,Drosera rotundifolia,Drosera rotundifolia,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,Drosera rotundifolia,6,7707728,220,422,5399,3190721,3191030,FALSE,32
33,3189767,NA,Plantago major L.,Plantago major,Plantago major,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago major,6,7707728,220,408,2420,3189695,3189767,FALSE,33
34,2705622,NA,Paspalum distichum L.,Paspalum distichum,Paspalum distichum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum distichum,6,7707728,196,1369,3073,2705540,2705622,FALSE,34
35,4196478,4196474,Azolla microphylla Kaulf.,Azolla microphylla,Azolla microphylla,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla,Azolla cristata,6,7707728,7228684,7229405,6629,2650103,4196474,TRUE,35
36,7503234,NA,Nelumbo lutea (Willd.) Pers.,Nelumbo lutea,Nelumbo lutea,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Proteales,Nelumbonaceae,Nelumbo,Nelumbo lutea,6,7707728,220,400,2424,2882448,7503234,FALSE,36
37,2288065,NA,"Pleurobema sintoxia (Rafinesque, 1820)",Pleurobema sintoxia,Pleurobema sintoxia,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Pleurobema,Pleurobema sintoxia,1,52,137,9301143,3461,2288056,2288065,FALSE,37
38,2711157,NA,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Schoenoplectus,Schoenoplectus tabernaemontani,6,7707728,196,1369,7708,2710907,2711157,FALSE,38
39,6391194,NA,Persicaria maculosa Gray,Persicaria maculosa,Persicaria maculosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria maculosa,6,7707728,220,422,2416,6390748,6391194,FALSE,39
40,5329293,NA,Najas guadalupensis (Spreng.) Magnus,Najas guadalupensis,Najas guadalupensis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Najas,Najas guadalupensis,6,7707728,196,551,3721,2865618,5329293,FALSE,40
41,5270727,NA,Chara fibrosa C.Agardh ex Bruzelius,Chara fibrosa,Chara fibrosa,SPECIES,ACCEPTED,97,EXACT,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,Chara fibrosa,6,7819616,328,626,8782,2637982,5270727,FALSE,41
87,4287132,NA,"Acipenser oxyrinchus Mitchill, 1815",Acipenser oxyrinchus,Acipenser oxyrinchus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus,1,44,NA,1103,2947,2340025,4287132,FALSE,87
43,2288275,NA,"Truncilla donaciformis (I.Lea, 1827)",Truncilla donaciformis,Truncilla donaciformis,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Truncilla,Truncilla donaciformis,1,52,137,9301143,3461,2288273,2288275,FALSE,43
44,2291004,NA,"Planorbula armigera (Say, 1821)",Planorbula armigera,Planorbula armigera,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Planorbula,Planorbula armigera,1,52,225,NA,2851,2291001,2291004,FALSE,44
45,2291166,NA,"Laevapex fuscus (C.B.Adams, 1840)",Laevapex fuscus,Laevapex fuscus,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Laevapex,Laevapex fuscus,1,52,225,NA,2851,2291164,2291166,FALSE,45
46,5189918,8343100,"Stagnicola catascopium (Say, 1817)",Stagnicola catascopium,Stagnicola catascopium,SPECIES,SYNONYM,98,EXACT,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Ladislavella,Ladislavella catascopium,1,52,225,NA,2852,4606458,8343100,TRUE,46
47,2287955,NA,"Pyganodon cataracta (Say, 1817)",Pyganodon cataracta,Pyganodon cataracta,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Pyganodon,Pyganodon cataracta,1,52,137,9301143,3461,2287950,2287955,FALSE,47
48,2287952,NA,"Pyganodon fragilis (Lamarck, 1819)",Pyganodon fragilis,Pyganodon fragilis,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Pyganodon,Pyganodon fragilis,1,52,137,9301143,3461,2287950,2287952,FALSE,48
49,2287951,NA,"Pyganodon grandis (Say, 1829)",Pyganodon grandis,Pyganodon grandis,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Pyganodon,Pyganodon grandis,1,52,137,9301143,3461,2287950,2287951,FALSE,49
50,2287904,NA,"Utterbackia imbecillis (Say, 1829)",Utterbackia imbecillis,Utterbackia imbecillis,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Utterbackia,Utterbackia imbecillis,1,52,137,9301143,3461,2287902,2287904,FALSE,50
51,7621602,NA,"Toxolasma parvum (Barnes, 1823)",Toxolasma parvum,Toxolasma parvum,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Toxolasma,Toxolasma parvum,1,52,137,9301143,3461,2288023,7621602,FALSE,51
52,2288147,NA,"Lampsilis fasciola Rafinesque, 1820",Lampsilis fasciola,Lampsilis fasciola,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Lampsilis,Lampsilis fasciola,1,52,137,9301143,3461,2288131,2288147,FALSE,52
53,2290992,NA,"Gyraulus circumstriatus (Tryon, 1866)",Gyraulus circumstriatus,Gyraulus circumstriatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Gyraulus,Gyraulus circumstriatus,1,52,225,NA,2851,2290991,2290992,FALSE,53
54,2291236,NA,"Bulimnaea megasoma (Say, 1824)",Bulimnaea megasoma,Bulimnaea megasoma,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Bulimnaea,Bulimnaea megasoma,1,52,225,NA,2852,2291235,2291236,FALSE,54
55,2288157,NA,"Lampsilis siliquoidea (Barnes, 1823)",Lampsilis siliquoidea,Lampsilis siliquoidea,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Lampsilis,Lampsilis siliquoidea,1,52,137,9301143,3461,2288131,2288157,FALSE,55
56,10004660,NA,"Galba exigua (I.Lea, 1841)",Galba exigua,Galba exigua,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Galba,Galba exigua,1,52,225,NA,2852,2291335,10004660,FALSE,56
57,7823183,NA,"Ladislavella elodes (Say, 1821)",Ladislavella elodes,Ladislavella elodes,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Ladislavella,Ladislavella elodes,1,52,225,NA,2852,4606458,7823183,FALSE,57
58,9832343,NA,"Galba perplexa (F.C.Baker & J.Henderson, 1929)",Galba perplexa,Galba perplexa,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Galba,Galba perplexa,1,52,225,NA,2852,2291335,9832343,FALSE,58
59,10386054,NA,"Galba peninsulae (B.Walker, 1908)",Galba peninsulae,Galba peninsulae,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Galba,Galba peninsulae,1,52,225,NA,2852,2291335,10386054,FALSE,59
60,5189713,NA,"Menetus dilatatus (A.Gould, 1841)",Menetus dilatatus,Menetus dilatatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Menetus,Menetus dilatatus,1,52,225,NA,2851,2290966,5189713,FALSE,60
1361,2402122,NA,"Acipenser transmontanus Richardson, 1836",Acipenser transmontanus,Acipenser transmontanus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus,1,44,NA,1103,2947,2340025,2402122,FALSE,1361
62,5224503,NA,"Lampropeltis triangulum (Lacépède, 1789)",Lampropeltis triangulum,Lampropeltis triangulum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Squamata,NA,Colubridae,Lampropeltis,Lampropeltis triangulum,1,44,11592253,NA,6172,9391215,5224503,FALSE,62
65,2412708,NA,"Alosa aestivalis (Mitchill, 1814)",Alosa aestivalis,Alosa aestivalis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa aestivalis,1,44,NA,538,7332,2412615,2412708,FALSE,65
66,2412699,NA,"Alosa mediocris (Mitchill, 1814)",Alosa mediocris,Alosa mediocris,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa mediocris,1,44,NA,538,7332,2412615,2412699,FALSE,66
260,2412740,NA,"Alosa pseudoharengus (Wilson, 1811)",Alosa pseudoharengus,Alosa pseudoharengus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus,1,44,NA,538,7332,2412615,2412740,FALSE,260
1342,2412661,NA,"Alosa sapidissima (Wilson, 1811)",Alosa sapidissima,Alosa sapidissima,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,1,44,NA,538,7332,2412615,2412661,FALSE,1342
72,2394514,NA,"Ambloplites rupestris (Rafinesque, 1817)",Ambloplites rupestris,Ambloplites rupestris,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Perciformes,Centrarchidae,Ambloplites,Ambloplites rupestris,1,44,NA,587,8513,2394512,2394514,FALSE,72
80,2340977,NA,"Ameiurus melas (Rafinesque, 1820)",Ameiurus melas,Ameiurus melas,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,NA,Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas,1,44,NA,708,5153,2340965,2340977,FALSE,80
