"scientific_name","min_year","max_year"
"Acanthurus chirurgus",2025,2025
"Aceria kraftella",2025,2025
"Aceria populi",2025,2025
"Achillea roseoalba",2025,2025
"Acineria uncinata",2025,2025
"Acmella oleracea",2025,2025
"Acompocoris pygmaeus",2025,2025
"Acrospermum compressum",2025,2025
"Actinocoris signatus",2025,2025
"Aedes aurifer",2025,2025
"Aedes diantaeus",2025,2025
"Aeginopsis laurentii",2025,2025
"Agabus oblongulus",2025,2025
"Agabus smithi",2025,2025
"Agaricus braendlei",2025,2025
"Agaricus endoxanthus",2025,2025
"Aglossa furva",2025,2025
"Agonum crenistriatum",2025,2025
"Agonum mutatum",2025,2025
"Agrilus osburni",2025,2025
"Agrotis rileyana",2025,2025
"Alebra rubrafrons",2025,2025
"Alitta brandti",2025,2025
"Allium giganteum",2025,2025
"Allium macleanii",2025,2025
"Alloblackburneus lentus",2025,2025
"Alopecosa koponeni",2025,2025
"Alyssum simplex",2025,2025
"Amanita chrysoblema",2025,2025
"Amanita junquillea",2025,2025
"Amanita magniverrucata",2025,2025
"Amanita persicina",2025,2025
"Amanita volvata",2025,2025
"Amara aurata",2025,2025
"Amara bifrons",2025,2025
"Amara carinata",2025,2025
"Amara coelebs",2025,2025
"Amara farcta",2025,2025
"Ambigolimax parvipenis",2025,2025
"Amblyodon dealbatus",2025,2025
"Amblyosyllis anae",2025,2025
"Amelanchier nantucketensis",2025,2025
"Ammothella tuberculata",2025,2025
"Amphimedon trindanea",2025,2025
"Amphitrite ornata",2025,2025
"Amphora ovalis",2025,2025
"Amsonia tabernaemontana",2025,2025
"Amynthas tokioensis",2025,2025
"Anarhynchus leschenaultii",2025,2025
"Anarta obesula",2025,2025
"Anastrophyllum michauxii",2025,2025
"Andrena andrenoides",2025,2025
"Andrena commoda",2025,2025
"Andrena forbesii",2025,2025
"Andrena kalmiae",2025,2025
"Anhinga anhinga",2025,2025
"Anomala cupripes",2025,2025
"Anthonomus rufipes",2025,2025
"Anthracoidea scirpoideae",2025,2025
"Anthrenus coloratus",2025,2025
"Anthus hodgsoni",2025,2025
"Anusia nasicornis",2025,2025
"Apechthis ontario",2025,2025
"Aphanocapsa incerta",2025,2025
"Aphanocapsa planctonica",2025,2025
"Aphthona czwalinae",2025,2025
"Aphthona nigriscutis",2025,2025
"Apium graveolens",2025,2025
"Aporrectodea longa",2025,2025
"Aporrectodea trapezoides",2025,2025
"Aquilegia chrysantha",2025,2025
"Aradus depressus",2025,2025
"Aradus intectus",2025,2025
"Araucaria araucana",2025,2025
"Arcyria helvetica",2025,2025
"Argis alaskensis",2025,2025
"Argulus funduli",2025,2025
"Argyra calcitrans",2025,2025
"Argyropelecus sladeni",2025,2025
"Arion vulgaris",2025,2025
"Arnellia fennica",2025,2025
"Asciodes gordialis",2025,2025
"Asiocnemis nitens",2025,2025
"Asparagus setaceus",2025,2025
"Asterococcus limneticus",2025,2025
"Astragalus danicus",2025,2025
"Astylidius parvus",2025,2025
"Atheta novaescotiae",2025,2025
"Atholus bimaculatus",2025,2025
"Atichia glomerulosa",2025,2025
"Atimia hoppingi",2025,2025
"Attalus morulus",2025,2025
"Atylus carinatus",2025,2025
"Auletobius congruus",2025,2025
"Autographa gamma",2025,2025
"Awerintzewia cyclostoma",2025,2025
"Axius serratus",2025,2025
"Bacidia laurocerasi",2025,2025
"Badister micans",2025,2025
"Belomicrus forbesii",2025,2025
"Bembidion hesperium",2025,2025
"Bembidion salebratum",2025,2025
"Bembidion timidum",2025,2025
"Berberis japonica",2025,2025
"Berberis pinnata",2025,2025
"Beringiana beringiana",2025,2025
"Berosus punctatissimus",2025,2025
"Betula alpestris",2025,2025
"Bipalium vagum",2025,2025
"Biscogniauxia bartholomaei",2025,2025
"Bistorta amplexicaulis",2025,2025
"Blepharisma penardi",2025,2025
"Blepharostoma arachnoideum",2025,2025
"Blephilia hirsuta",2025,2025
"Blindiadelphus diversifolius",2025,2025
"Bonnemaisonia hamifera",2025,2025
"Bootanomyia dorsalis",2025,2025
"Boreus nix",2025,2025
"Bothus ocellatus",2025,2025
"Brachionus quadridentatus",2025,2025
"Brachythecium capillaceum",2025,2025
"Brachythecium cirrosum",2025,2025
"Brachythecium rotaeanum",2025,2025
"Broscodera insignis",2025,2025
"Bruchia flexuosa",2025,2025
"Bruchophagus gibbus",2025,2025
"Brychius hornii",2025,2025
"Brychius pacificus",2025,2025
"Bryonia alba",2025,2025
"Bryophacis canadensis",2025,2025
"Buccinum finmarkianum",2025,2025
"Butyriboletus abieticola",2025,2025
"Cacopsylla nordica",2025,2025
"Cacopsylla peregrina",2025,2025
"Caenocara oculatum",2025,2025
"Caenocara tenuipalpa",2025,2025
"Caliciopsis arceuthobii",2025,2025
"Calocedrus decurrens",2025,2025
"Calogaya pusilla",2025,2025
"Caloptilia acerifoliella",2025,2025
"Caloptilia flavimaculella",2025,2025
"Caloreas canadensis",2025,2025
"Calosima melanostriatella",2025,2025
"Cameraria lobatiella",2025,2025
