"","user_login","n_sp"
"1","a_dumas",1
"2","aaron-ulrick",1
"3","abbeyy888",1
"4","abbyhyde",8
"5","afishybutler",1
"6","agrocan86",1
"7","aiva",1
"8","ajarofjames",1
"9","ajphip",1
"10","alanyoshioka",1
"11","alex37472",2
"12","alexanderj",1
"13","alexswift",3
"14","alisonnetta",2
"15","amacnaughton",1
"16","amaire45",1
"17","amber94x",1
"18","andrewdarcy",1
"19","andrewsonea",4
"20","andy492",1
"21","aniaonion",1
"22","aninhafonte",1
"23","anthea2nature",1
"24","antjevl",1
"25","arthrowepoda",1
"26","asherwarkentin",1
"27","astroara",1
"28","aterrigeol",1
"29","averybartels",1
"30","backyardcanadianantkeeper",1
"31","bastefanidis",2
"32","bcg498",1
"33","bclarkston",1
"34","bdstaylor",2
"35","beespeaker",1
"36","benkendrick",3
"37","benmilligan",1
"38","bhuard29",1
"39","biophiliabc",1
"40","blkillin",1
"41","blue_72",1
"42","bobbyblackmore",1
"43","bradenjudson",4
"44","brandon2zz",1
"45","breeannphillips",1
"46","brendanboyd",2
"47","brent_isojima",2
"48","brevan_wagner",1
"49","brguinn",1
"50","broacher",1
"51","bronwen77",1
"52","bropea",1
"53","brucekm",1
"54","brucemalloch",2
"55","bryosoph",2
"56","bstarzomski",5
"57","burke_korol",1
"58","calebcatto",1
"59","carita",2
"60","carm_tree",1
"61","carobrown",1
"62","caterpillerlover",1
"63","cback",1
"64","cernunosse",1
"65","channy0580",1
"66","chantalgauthier",2
"67","chloe_and_trevor",3
"68","chrisfluit",1
"69","cinna_latifolia",1
"70","cmissman",1
"71","cody654",1
"72","coppercoin_111",1
"73","corvi",1
"74","coryss",1
"75","cratzlaff",1
"76","crimguy",1
"77","ctasse",1
"78","ctullyrdek",1
"79","cwardrop",2
"80","cwood",1
"81","dan_macneal",1
"82","danielmary",1
"83","davidchapados",11
"84","davidfbird",15
"85","deborahmosher",1
"86","deckimeters",1
"87","dennyb",1
"88","dhuggard",1
"89","dickcannings",2
"90","djdanimal",1
"91","djringer",1
"92","dmalloch",1
"93","dougbrown",1
"94","doviende",13
"95","driley",1
"96","dtski",1
"97","dustin777",1
"98","ean2023",1
"99","earley_bird",2
"100","echocreek",2
"101","ecota55",1
"102","ehessels",3
"103","ejgnam2",1
"104","elacroix-carignan",2
"105","elbourret",2
"106","elliofthenorth",2
"107","eloraa",5
"108","emma_hu",1
"109","eric_wilmot",1
"110","ericgiles",1
"111","ethan_ott",1
"112","evaburghardt",1
"113","ezgrower",1
"114","farcrest",1
"115","floatek",1
"116","fmcghee",1
"117","fmgee",2
"118","friendlyforest",1
"119","fungikingdomqc",13
"120","g0ingh0st",1
"121","gaiagroup",1
"122","garyyankech",1
"123","gengau978",1
"124","gfgm",1
"125","giancoangelozzi",1
"126","giragavin",1
"127","gis1",1
"128","giselle_s",1
"129","grand",1
"130","gregorykuwahara",1
"131","grinnin",1
"132","gscard250",1
"133","guyanaguy",1
"134","gvashton",1
"135","gyefiri",1
"136","h_lazaris",1
"137","handy2",1
