"","X","iconic_taxon_name","scientific_name","n"
"1",10,"Protozoa","Difflugia acutissima",1
"2",11,"Fungi","Myxospora masonii",1
"3",15,"Insecta","Lasiopogon yukonensis",1
"4",30,"Insecta","Mesorhaga flavipes",1
"5",44,"Fungi","Paragaeumannomyces longisporus",1
"6",63,"Fungi","Merismodes monacha",1
"7",78,"Insecta","Agrilus osburni",1
"8",83,"Chromista","Pseudoblepharisma tenue",1
"9",94,"Insecta","Melanotus testaceus",1
"10",103,"Fungi","Pronectria echinulata",1
"11",135,"Insecta","Scellus exustus",1
"12",146,"Insecta","Aradus intectus",1
"13",147,"Insecta","Attalus morulus",1
"14",149,"Fungi","Hymenoscyphus vasaensis",1
"15",152,"Plantae","Radiofilum mesomorphum",1
"16",161,"Arachnida","Rhombognathides seahami",1
"17",162,"Arachnida","Thalassarachna capuzina",1
"19",171,"Insecta","Flexamia delongi",1
"21",177,"Protozoa","Symphytocarpus macrosporus",1
"22",190,"Animalia","Placobdella desseri",1
"23",194,"Insecta","Pissonotus niger",1
"24",208,"Insecta","Philonthus gracilior",1
"25",216,"Insecta","Thamiaraea corverae",1
"26",221,"Insecta","Cicadula straminea",1
"27",222,"Insecta","Lionepha erasa",1
"28",223,"Insecta","Bembidion hesperium",1
"29",257,"Insecta","Scoliocentra maculipennis",1
"30",260,"Insecta","Dryope melanderi",1
"31",266,"Insecta","Prosternon fallax",1
"32",267,"Chromista","Gyrodinium helveticum",1
"33",270,"Fungi","Luteodiscus hemiamyloideus",1
"34",304,"Insecta","Caloreas canadensis",1
"35",308,"Animalia","Argis alaskensis",1
"37",328,"Fungi","Polynema ornatum",1
"38",329,"Insecta","Lonchoptera impicta",1
"39",337,"Insecta","Osmia tersula",1
"40",338,"Fungi","Pseudoclathrosphaerina evamariae",1
"42",347,"Insecta","Wroughtonia occidentalis",1
"43",348,"Fungi","Corniculariella populi",1
"44",350,"Insecta","Atimia hoppingi",1
"45",367,"Insecta","Elatophilus brimleyi",1
"46",372,"Protozoa","Centropyxis ecornis",1
"47",380,"Chromista","Mallomonas pseudocoronata",1
"48",383,"Chromista","Blepharisma penardi",1
"49",396,"Insecta","Cacopsylla nordica",1
"50",406,"Protozoa","Phacus hispidulus",1
"51",411,"Fungi","Helminthosphaeria stuppea",1
"52",412,"Fungi","Karstenia macra",1
"53",418,"Fungi","Triadelphia corticola",1
"54",424,"Animalia","Squatinella leydigii",1
"55",426,"Fungi","Orbilia ellipsospora",1
"56",435,"Insecta","Macrotylus sexguttatus",1
"57",437,"Fungi","Paragaeumannomyces elegans",1
"58",441,"Chromista","Trigonium quinquelobatum",1
"59",443,"Insecta","Chionodes halycopa",1
"60",445,"Insecta","Cyrtopogon varans",1
"61",446,"Chromista","Omnivora mutabilis",1
"62",447,"Insecta","Harpalus fulvilabris",1
"63",448,"Insecta","Proteinus pseudothomasi",1
"64",454,"Plantae","Radula prolifera",1
"66",465,"Insecta","Scathophaga obscurinervis",1
"67",466,"Insecta","Newsteadia americana",1
"68",468,"Fungi","Distoseptispora curvularia",1
"69",473,"Fungi","Chalarodendron fuscum",1
"70",475,"Insecta","Platynus indecentis",1
"71",477,"Insecta","Chlaenius interruptus",1
"72",478,"Insecta","Stenolophus limbalis",1
"73",482,"Insecta","Dolichopeza obscura",1
"74",486,"Insecta","Auletobius congruus",1
"75",488,"Insecta","Lemellus bimaculatus",1
"76",507,"Fungi","Dactylellina candidum",1
"77",509,"Arachnida","Metopobactrus pacificus",1
"78",512,"Fungi","Hyalocamposporium acutum",1
"79",519,"Insecta","Gnypeta brevicornis",1
"80",524,"Fungi","Endophragmiella oblonga",1
"82",535,"Insecta","Bryophacis canadensis",1
"83",542,"Insecta","Ilybius verisimilis",1
"84",547,"Plantae","Chlamydomonas epiphytica",1
"85",563,"Animalia","Monocoryne colonialis",1
"86",567,"Insecta","Formica spatulata",1
"87",571,"Arachnida","Pachygnatha xanthostoma",1
"88",574,"Fungi","Helicodendron giganteum",1
"89",575,"Insecta","Agonum crenistriatum",1
"90",590,"Animalia","Hypogastrura litoralis",1
"91",592,"Fungi","Dactylaria candidula",1
"92",596,"Chromista","Pseudokephyrion undulitissimum",1
"95",608,"Insecta","Brychius hornii",1
"97",613,"Insecta","Tachysphex semirufus",1
"98",622,"Insecta","Elathous californicus",1
"99",625,"Arachnida","Iviella newfoundlandensis",1
"100",626,"Insecta","Xylechinus americanus",1
"101",629,"Insecta","Neobisnius senilis",1
"102",630,"Animalia","Xenylla welchi",1
"103",638,"Protozoa","Cucurbitella mespiliformis",1
"104",639,"Fungi","Minutisphaera fimbriatispora",1
"105",640,"Protozoa","Difflugia limnetica",1
"106",641,"Animalia","Profilicollis botulus",1
"107",647,"Insecta","Euura lucidae",1
"108",649,"Plantae","Campylium polygamum",1
"109",652,"Insecta","Cixidia brittoni",1
"18",169,"Fungi","Dasyscyphus castaneus",2
"20",175,"Insecta","Limotettix urnura",2
"36",327,"Insecta","Eucyrtopogon comantis",2
"41",345,"Fungi","Coccomyces arbutifolius",2
"81",534,"Protozoa","Cucurbitella vlasinensis",2
"93",601,"Fungi","Pseudolasiobolus minutissimus",2
"94",603,"Insecta","Myelaphus lobicornis",2
"96",611,"Fungi","Sporoschisma hemipsilum",2
"65",461,"Insecta","Formicoxenus provancheri",4
