"","iconic_taxon_name","scientific_name","n"
"1","Actinopterygii","Acanthurus chirurgus",2
"2","Actinopterygii","Cantherhines pullus",2
"3","Actinopterygii","Caranx bartholomaei",2
"4","Actinopterygii","Chaetodon capistratus",3
"5","Actinopterygii","Fistularia tabacaria",1
"6","Actinopterygii","Hypocritichthys analis",1
"7","Actinopterygii","Lactophrys trigonus",3
"8","Actinopterygii","Lutjanus campechanus",6
"9","Actinopterygii","Poecilia reticulata",1
"10","Actinopterygii","Priacanthus arenatus",1
"11","Actinopterygii","Sebastes goodei",2
"12","Actinopterygii","Selene vomer",1
"13","Actinopterygii","Trachinocephalus myops",5
"14","Other Animalia","Amblyosyllis anae",1
"15","Other Animalia","Amphimedon trindanea",1
"16","Other Animalia","Amynthas tokioensis",1
"17","Other Animalia","Aporrectodea trapezoides",5
"18","Other Animalia","Argis alaskensis",1
"19","Other Animalia","Argulus funduli",1
"20","Other Animalia","Atylus carinatus",1
"21","Other Animalia","Axius serratus",1
"22","Other Animalia","Cerebratulus lineolatus",1
"23","Other Animalia","Chaetonotus arquatus",2
"24","Other Animalia","Dicrocoelium dendriticum",4
"25","Other Animalia","Einhornia moskvikvendi",1
"26","Other Animalia","Entobdella hippoglossi",2
"27","Other Animalia","Entomobrya confusa",3
"28","Other Animalia","Geophilus flavus",8
"29","Other Animalia","Haltidytes crassus",1
"30","Other Animalia","Haplocampa wagnelli",2
"31","Other Animalia","Hormathia digitata",9
"32","Other Animalia","Hypogastrura litoralis",1
"33","Other Animalia","Hypogastrura purpurescens",1
"34","Other Animalia","Leodice valens",2
"35","Other Animalia","Lepidocyrtus lanuginosus",2
"36","Other Animalia","Monocorophium insidiosum",1
"37","Other Animalia","Monocoryne colonialis",1
"38","Other Animalia","Ophelina acuminata",1
"39","Other Animalia","Oudemansia georgia",23
"40","Other Animalia","Placobdella desseri",1
"41","Other Animalia","Plutomurus wilkeyi",2
"42","Other Animalia","Pseudosagitta lyra",2
"43","Other Animalia","Sminthurides plicatus",3
"44","Other Animalia","Sminthurinus atrapallidus",3
"45","Other Animalia","Squatinella leydigii",1
"46","Other Animalia","Synidotea nebulosa",1
"47","Other Animalia","Thalassaphorura debilis",24
"48","Other Animalia","Xenylla humicola",4
"49","Other Animalia","Xenylla welchi",1
"50","Arachnida","Aceria kraftella",2
"51","Arachnida","Aceria populi",1
"52","Arachnida","Cicurina idahoana",2
"53","Arachnida","Clubiona spiralis",1
"54","Arachnida","Cybaeina minuta",2
"55","Arachnida","Drassyllus insularis",1
"56","Arachnida","Emblyna maxima",3
"57","Arachnida","Eriophyes inangulis",3
"58","Arachnida","Gnaphosa californica",1
"59","Arachnida","Halorates alascensis",4
"60","Arachnida","Iviella newfoundlandensis",1
"61","Arachnida","Ixodes auritulus",3
"62","Arachnida","Metopobactrus pacificus",1
"63","Arachnida","Pachygnatha xanthostoma",1
"64","Arachnida","Paradamoetas fontanus",3
"65","Arachnida","Pellenattus shoshonensis",3
"66","Arachnida","Rhombognathides seahami",1
"67","Arachnida","Thalassarachna capuzina",1
"68","Arachnida","Wubana suprema",1
"69","Arachnida","Xysticus californicus",1
"70","Aves","Anarhynchus leschenaultii",4
"71","Aves","Anthus hodgsoni",1
"72","Aves","Geopelia cuneata",2
"73","Aves","Hydrobates pelagicus",1
"74","Aves","Paroaria coronata",1
"75","Chromista","Chrysocapsa paludosa",1
"76","Chromista","Cryptomonas curvata",1
"77","Chromista","Cystodinium bataviense",1
"78","Chromista","Cystodinium cornifax",1
"79","Chromista","Diaxonella pseudorubra",1
"80","Chromista","Dinobryon suecicum",1
"81","Chromista","Discophrya elongata",1
"82","Chromista","Gastronauta membranaceus",1
"83","Chromista","Holophrya ovum",1
"84","Chromista","Hymenomonas roseola",2
"85","Chromista","Laminaria sinclairii",4
"86","Chromista","Loxodes magnus",2
"87","Chromista","Loxodes striatus",1
"88","Chromista","Loxophyllum meleagris",1
"89","Chromista","Macrocystis tenuifolia",7
"90","Chromista","Mallomonas pseudocoronata",1
"91","Chromista","Omnivora mutabilis",1
"92","Chromista","Paulinella chromatophora",2
"93","Chromista","Peronospora alta",4
"94","Chromista","Peronospora gei",1
"95","Chromista","Petroneis marina",1
"96","Chromista","Phaeoplaca thallosa",1
"97","Chromista","Plagiopyla nasuta",1
"98","Chromista","Propyxidium tardigradum",1
"99","Chromista","Pseudokephyrion undulitissimum",1
"100","Chromista","Spirostomum caudatum",1
"101","Chromista","Spongomonas intestinalis",1
"102","Chromista","Trichodina pediculus",1
"103","Chromista","Trigonium quinquelobatum",1
"104","Chromista","Tropidoatractus acuminatus",1
"105","Chromista","Wilsoniana portulacae",1
"106","Fungi","Agaricus braendlei",5
"107","Fungi","Agaricus endoxanthus",1
"108","Fungi","Amanita volvata",1
"109","Fungi","Butyriboletus abieticola",1
"110","Fungi","Caliciopsis arceuthobii",4
"111","Fungi","Calogaya pusilla",2
"112","Fungi","Cellypha goldbachii",1
"113","Fungi","Chalarodendron fuscum",1
"114","Fungi","Chromelosporium ochraceum",1
"115","Fungi","Coccomyces arbutifolius",2
"116","Fungi","Corniculariella populi",1
"117","Fungi","Dactylaria candidula",1
"118","Fungi","Dactylellina candidum",1
"119","Fungi","Daleomyces phillipsii",1
"120","Fungi","Dasyscyphus castaneus",2
"121","Fungi","Dennisiella babingtonii",2
"122","Fungi","Destuntzia purpurea",1
"123","Fungi","Endophragmiella oblonga",1
"124","Fungi","Entyloma flavoluteum",2
"125","Fungi","Entyloma floerkeae",2
"126","Fungi","Epibryon interlamellare",2
"127","Fungi","Erysiphe astragali",1
"128","Fungi","Erysiphe clintonii",2
"129","Fungi","Erysiphe eschscholziae",13
"130","Fungi","Erysiphe grossulariae",1
"131","Fungi","Erysiphe guarinonii",2
"132","Fungi","Erysiphe ludens",5
"133","Fungi","Erysiphe parmeleeana",1
"134","Fungi","Erysiphe ravenelii",1
"135","Fungi","Erysiphe rayssiae",3
"136","Fungi","Erysiphe schweinitziana",1
"137","Fungi","Exoteliospora osmundae",1
"138","Fungi","Favolus pseudobetulinus",2
"139","Fungi","Harzia acremonioides",1
"140","Fungi","Helotium schimperi",2
"141","Fungi","Hyalocamposporium acutum",1
"142","Fungi","Hygrophorus nemoreus",1
"143","Fungi","Hymenoscyphus vasaensis",1
"144","Fungi","Lachnum gaultheriae",12
"145","Fungi","Lactarius barrowsii",1
"146","Fungi","Lasiobotrys lonicerae",1
"147","Fungi","Merismodes monacha",1
"148","Fungi","Microstrobilinia castrans",2
"149","Fungi","Microstroma album",1
"150","Fungi","Mycena fuliginella",2
"151","Fungi","Mycena subsanguinolenta",1
"152","Fungi","Myxospora masonii",1
"153","Fungi","Naiadolina flavomerulina",2
"154","Fungi","Nephroma orvoi",1
"155","Fungi","Ochropsora dicentrae",1
"156","Fungi","Olla millepunctata",4
"157","Fungi","Ophiocordyceps stylophora",1
"158","Fungi","Orbilia ellipsospora",1
"159","Fungi","Paragaeumannomyces elegans",1
"160","Fungi","Paragaeumannomyces longisporus",1
"161","Fungi","Paraisaria gracilis",1
"162","Fungi","Peristemma pseudosphaeria",2
"163","Fungi","Peyronelina glomerulata",1
"164","Fungi","Phyllachora lespedezae",1
"165","Fungi","Phyllactinia betulae",1
"166","Fungi","Phyllactinia elaeagni",3
"167","Fungi","Phyllactinia holodisci",3
"168","Fungi","Phyllactinia oemleriae",2
"169","Fungi","Pleurothecium recurvatum",1
"170","Fungi","Podosphaera epilobii",8
"171","Fungi","Pseudoclathrosphaerina evamariae",1
"172","Fungi","Pseudolasiobolus minutissimus",2
"173","Fungi","Pseudoplectania episphagnum",1
"174","Fungi","Puccinia comandrae",3
"175","Fungi","Punctelia reddenda",1
"176","Fungi","Pyrenopeziza atrata",1
"177","Fungi","Rodwayella citrinula",1
"178","Fungi","Russula chloroides",1
"179","Fungi","Septoria cerastii",1
"180","Fungi","Sphaerulina betulae",1
"181","Fungi","Sporoschisma hemipsilum",1
"182","Fungi","Stachycoremium parvulum",1
"183","Fungi","Taphrina bullata",1
"184","Fungi","Tetracladium marchalianum",1
"185","Fungi","Thelephora botryoides",1
"186","Fungi","Trabutia quercina",1
"187","Fungi","Trametes villosa",9
