"","min_year","iconic_taxon_name","n","cumsum","obsperyear","rate","obsneeded","year"
"1",1891,"Plantae",3,3,8,0.375,2.66666666666667,"2009-2014"
"2",1892,"Plantae",2,5,27,0.0740740740740741,13.5,"2009-2014"
"3",1893,"Plantae",8,13,30,0.266666666666667,3.75,"2009-2014"
"4",1894,"Plantae",3,16,12,0.25,4,"2009-2014"
"5",1895,"Plantae",1,17,5,0.2,5,"2009-2014"
"6",1897,"Plantae",1,18,5,0.2,5,"2009-2014"
"7",1899,"Plantae",1,19,4,0.25,4,"2009-2014"
"8",1900,"Insecta",1,20,2,0.5,2,"2009-2014"
"9",1900,"Plantae",3,23,37,0.0810810810810811,12.3333333333333,"2009-2014"
"10",1901,"Plantae",10,33,36,0.277777777777778,3.6,"2009-2014"
"11",1902,"Plantae",18,51,42,0.428571428571429,2.33333333333333,"2009-2014"
"12",1903,"Plantae",8,59,16,0.5,2,"2009-2014"
"13",1905,"Plantae",2,61,2,1,1,"2009-2014"
"14",1907,"Plantae",1,62,1,1,1,"2009-2014"
"15",1909,"Plantae",1,63,2,0.5,2,"2009-2014"
"16",1913,"Insecta",1,64,1,1,1,"2009-2014"
"17",1915,"Insecta",1,65,1,1,1,"2009-2014"
"18",1915,"Plantae",1,66,3,0.333333333333333,3,"2009-2014"
"19",1918,"Reptilia",1,67,1,1,1,"2009-2014"
"20",1919,"Insecta",1,68,3,0.333333333333333,3,"2009-2014"
"21",1921,"Animalia",1,69,1,1,1,"2009-2014"
"22",1922,"Plantae",1,70,1,1,1,"2009-2014"
"23",1924,"Insecta",1,71,2,0.5,2,"2009-2014"
"24",1925,"Insecta",3,74,4,0.75,1.33333333333333,"2009-2014"
"25",1927,"Insecta",2,76,2,1,1,"2009-2014"
"26",1930,"Insecta",1,77,4,0.25,4,"2009-2014"
"27",1932,"Insecta",1,78,1,1,1,"2009-2014"
"28",1933,"Insecta",1,79,3,0.333333333333333,3,"2009-2014"
"29",1933,"Mollusca",1,80,1,1,1,"2009-2014"
"30",1934,"Actinopterygii",1,81,1,1,1,"2009-2014"
"31",1934,"Animalia",1,82,1,1,1,"2009-2014"
"32",1935,"Animalia",1,83,1,1,1,"2009-2014"
"33",1935,"Chromista",1,84,1,1,1,"2009-2014"
"34",1936,"Plantae",1,85,3,0.333333333333333,3,"2009-2014"
"35",1937,"Insecta",1,86,6,0.166666666666667,6,"2009-2014"
"36",1938,"Insecta",2,88,3,0.666666666666667,1.5,"2009-2014"
"37",1939,"Insecta",2,90,2,1,1,"2009-2014"
"38",1939,"Plantae",4,94,49,0.0816326530612245,12.25,"2009-2014"
"39",1940,"Insecta",1,95,3,0.333333333333333,3,"2009-2014"
"40",1940,"Plantae",8,103,81,0.0987654320987654,10.125,"2009-2014"
"41",1941,"Plantae",3,106,40,0.075,13.3333333333333,"2009-2014"
"42",1942,"Insecta",5,111,4,1.25,0.8,"2009-2014"
"43",1942,"Plantae",3,114,18,0.166666666666667,6,"2009-2014"
"44",1943,"Insecta",1,115,2,0.5,2,"2009-2014"
"45",1944,"Insecta",2,117,9,0.222222222222222,4.5,"2009-2014"
"46",1945,"Plantae",1,118,1,1,1,"2009-2014"
"47",1946,"Insecta",4,122,5,0.8,1.25,"2009-2014"
"48",1946,"Plantae",1,123,1,1,1,"2009-2014"
"49",1947,"Insecta",1,124,1,1,1,"2009-2014"
"50",1947,"Plantae",1,125,1,1,1,"2009-2014"
"51",1948,"Insecta",2,127,6,0.333333333333333,3,"2009-2014"
"52",1949,"Insecta",22,149,28,0.785714285714286,1.27272727272727,"2009-2014"
