"","taxa","area_km_newcells","n_newcells","first_year","last_year"
"1","Actinopterygii",6093.04704928398,6093,2008,2025
"2","alltaxa",68605.5283669233,68605,2008,2025
"3","Amphibia",10237.0791201591,10237,2008,2025
"4","Animalia",7966.06150829792,7966,2008,2025
"5","Arachnida",13836.1068974733,13836,2008,2025
"6","Aves",24560.1894251108,24560,2008,2025
"7","Chromista",1213.00931966305,1213,2008,2025
"8","Fungi",23619.1821410656,23619,2008,2025
"9","Insecta",32831.2533808947,32831,2008,2025
"10","Mammalia",17550.1352927685,17550,2008,2025
"11","Mollusca",8046.06212317944,8046,2008,2025
"12","Plantae",51018.3932188749,51018,2008,2025
"13","Protozoa",2725.02104711533,2725,2008,2025
"14","Reptilia",8782.06798136234,8782,2008,2025
