"","group","user_login","primary_group"
"1","Blitz the Gap","a_dumas","Blitz the Gap"
"2","Blitz the Gap","a_mammal","Blitz the Gap"
"3","Blitz the Gap","aaronveale","Blitz the Gap"
"4","Blitz the Gap","aazide","Blitz the Gap"
"5","Blitz the Gap","abbyhyde","BC Biodiversity 2025 Team"
"6","Blitz the Gap","adam_kalab","Blitz the Gap"
"7","Blitz the Gap","adamwargon","Blitz the Gap"
"8","Blitz the Gap","adhd_gremlin","Blitz the Gap"
"9","Blitz the Gap","aegolius99","Blitz the Gap"
"10","Blitz the Gap","agigeroff","Blitz the Gap"
"11","Blitz the Gap","aiva","GCB Grantees"
"12","Blitz the Gap","ajones_mcgill","QCBS Grantees"
"13","Blitz the Gap","ajphip","Blitz the Gap"
"14","Blitz the Gap","alain49251","Blitz the Gap"
"15","Blitz the Gap","alex1702","Blitz the Gap"
"16","Blitz the Gap","alexlapierre","Blitz the Gap"
"17","Blitz the Gap","alexpitch1","Blitz the Gap"
"18","Blitz the Gap","alexvpace","Blitz the Gap"
"19","Blitz the Gap","allanf","Blitz the Gap"
"20","Blitz the Gap","allison300","Blitz the Gap"
"21","Blitz the Gap","amberstjames","Blitz the Gap"
"22","Blitz the Gap","amyfrostwicks","Blitz the Gap"
"23","Blitz the Gap","andreasara","Blitz the Gap"
"24","Blitz the Gap","andrewcreese","Blitz the Gap"
"25","Blitz the Gap","angelamac","Blitz the Gap"
"26","Blitz the Gap","ann2023","Blitz the Gap"
"27","Blitz the Gap","anna_elkins","Blitz the Gap"
"28","Blitz the Gap","annaananas","Blitz the Gap"
"29","Blitz the Gap","annabel_w","Blitz the Gap"
"30","Blitz the Gap","annaoflynn","Blitz the Gap"
"31","Blitz the Gap","anthonyzerafa","Blitz the Gap"
"32","Blitz the Gap","aparshyn","Blitz the Gap"
"33","Blitz the Gap","april-kr","Blitz the Gap"
"34","Blitz the Gap","aquatark","Blitz the Gap"
"35","Blitz the Gap","ariane113","Blitz the Gap"
"36","Blitz the Gap","arthrowepoda","Blitz the Gap"
"37","Blitz the Gap","arthur_ab_frogman","Blitz the Gap"
"38","Blitz the Gap","ash_uma","Blitz the Gap"
"39","Blitz the Gap","ashleyferns","Blitz the Gap"
"40","Blitz the Gap","atl_nature_2022","Blitz the Gap"
"41","Blitz the Gap","audrey346","Blitz the Gap"
"42","Blitz the Gap","audreylemay","Blitz the Gap"
"43","Blitz the Gap","azemax","Blitz the Gap"
"44","Blitz the Gap","bclarkston","Blitz the Gap"
"45","Blitz the Gap","beckeril","Blitz the Gap"
"46","Blitz the Gap","beespeaker","Blitz the Gap"
"47","Blitz the Gap","beetlejuiced","Blitz the Gap"
"48","Blitz the Gap","bentleycolwill","Blitz the Gap"
"49","Blitz the Gap","bevwigney","Blitz the Gap"
"50","Blitz the Gap","bigguysullivan","Blitz the Gap"
"51","Blitz the Gap","bigweld","Blitz the Gap"
"52","Blitz the Gap","biophiliabc","Blitz the Gap"
"53","Blitz the Gap","blakeweis","Blitz the Gap"
"54","Blitz the Gap","bminion03","Blitz the Gap"
"55","Blitz the Gap","bo_curtis_","Blitz the Gap"
"56","Blitz the Gap","bobl2","Blitz the Gap"
"57","Blitz the Gap","bobmcd","Blitz the Gap"
"58","Blitz the Gap","boneslikesbirds","Blitz the Gap"
"59","Blitz the Gap","bretta79","Blitz the Gap"
"60","Blitz the Gap","brogan_stewart","QCBS Grantees"
"61","Blitz the Gap","bstarzomski","BC Biodiversity 2025 Team"
"62","Blitz the Gap","bugsnslugs","Blitz the Gap"
"63","Blitz the Gap","c_harper_ott","Blitz the Gap"
"64","Blitz the Gap","c_omelon","Blitz the Gap"
"65","Blitz the Gap","caffeyian","Blitz the Gap"
"66","Blitz the Gap","calebcatto","Blitz the Gap"
"67","Blitz the Gap","camdiaz","Blitz the Gap"
"68","Blitz the Gap","camgb","Blitz the Gap"
"69","Blitz the Gap","carterdorscht","Blitz the Gap"
"70","Blitz the Gap","cascadian","Blitz the Gap"
"71","Blitz the Gap","cassidybest","BC Biodiversity 2025 Team"
"72","Blitz the Gap","cassiia","Blitz the Gap"
"73","Blitz the Gap","cathalle","Blitz the Gap"
"74","Blitz the Gap","cdvbrown","Blitz the Gap"
"75","Blitz the Gap","cecropiabmantis","Blitz the Gap"
"76","Blitz the Gap","ceebee1111","Blitz the Gap"
"77","Blitz the Gap","centibead","Blitz the Gap"
"78","Blitz the Gap","cerys_just_cerys","Blitz the Gap"
"79","Blitz the Gap","charles18686","Blitz the Gap"
"80","Blitz the Gap","charles35093","Blitz the Gap"
"81","Blitz the Gap","charlottegalloway","Blitz the Gap"
"82","Blitz the Gap","cherubin","Blitz the Gap"
"83","Blitz the Gap","chickadia","Blitz the Gap"
"84","Blitz the Gap","chlorophyllia","Blitz the Gap"
"85","Blitz the Gap","chrisdelacampagne","Blitz the Gap"
"86","Blitz the Gap","clara_casabona","Blitz the Gap"
"87","Blitz the Gap","colindjones","Blitz the Gap"
"88","Blitz the Gap","cookieq","Blitz the Gap"
"89","Blitz the Gap","corinne-du-lac-rond","Blitz the Gap"
"90","Blitz the Gap","cotinga","Blitz the Gap"
"91","Blitz the Gap","couldbecalliope","Blitz the Gap"
"92","Blitz the Gap","cr99","Blitz the Gap"
"93","Blitz the Gap","criquette1","Blitz the Gap"
"94","Blitz the Gap","crobillard","Blitz the Gap"
"95","Blitz the Gap","csdallstream","QCBS Grantees"
"96","Blitz the Gap","danman223","Blitz the Gap"
"97","Blitz the Gap","darrenkirby","Blitz the Gap"
"98","Blitz the Gap","daustin1","Blitz the Gap"
"99","Blitz the Gap","davia3","Blitz the Gap"
"100","Blitz the Gap","davidadair1","Blitz the Gap"
"101","Blitz the Gap","davidagahunt","Blitz the Gap"
"102","Blitz the Gap","dbmcc09","Blitz the Gap"
"103","Blitz the Gap","dcaron","Blitz the Gap"
"104","Blitz the Gap","delaneymc2","Blitz the Gap"
"105","Blitz the Gap","delphine86132","Blitz the Gap"
"106","Blitz the Gap","dg653","Blitz the Gap"
"107","Blitz the Gap","dhgadd","Blitz the Gap"
"108","Blitz the Gap","diane_srivastava","Blitz the Gap"
"109","Blitz the Gap","dmschock","Blitz the Gap"
"110","Blitz the Gap","docdez","Blitz the Gap"
"111","Blitz the Gap","donaldasutherland","Blitz the Gap"
"112","Blitz the Gap","doviende","Blitz the Gap"
"113","Blitz the Gap","earley_bird","BC Biodiversity 2025 Team"
"114","Blitz the Gap","ecampbell_","Blitz the Gap"
"115","Blitz the Gap","edespland","QCBS Grantees"
"116","Blitz the Gap","ehessels","Blitz the Gap"
"117","Blitz the Gap","elaine96838","Blitz the Gap"
"118","Blitz the Gap","elgonmab","Blitz the Gap"
"119","Blitz the Gap","eli8056","Blitz the Gap"
"120","Blitz the Gap","eli_duke","Blitz the Gap"
"121","Blitz the Gap","elizabeth138","Blitz the Gap"
"122","Blitz the Gap","elizabethcazeault","Blitz the Gap"
"123","Blitz the Gap","ellegreta","Blitz the Gap"
"124","Blitz the Gap","elliofthenorth","Blitz the Gap"
"125","Blitz the Gap","eloraa","BC Biodiversity 2025 Team"
"126","Blitz the Gap","emican","Blitz the Gap"
"127","Blitz the Gap","emilieidion","Blitz the Gap"
"128","Blitz the Gap","emilypalah","Blitz the Gap"
"129","Blitz the Gap","eniola30","Blitz the Gap"
"130","Blitz the Gap","enspring","BC Biodiversity"
"131","Blitz the Gap","ericao","Blitz the Gap"
"132","Blitz the Gap","erikoaizawa","Blitz the Gap"
"133","Blitz the Gap","eroger","Blitz the Gap"
"134","Blitz the Gap","errosorbus","Blitz the Gap"
"135","Blitz the Gap","etuz","Blitz the Gap"
"136","Blitz the Gap","eva_ruth","Blitz the Gap"
"137","Blitz the Gap","eve20219","Blitz the Gap"
"138","Blitz the Gap","everobinson","Blitz the Gap"
"139","Blitz the Gap","eyes19985","Blitz the Gap"
"140","Blitz the Gap","eyes2","Blitz the Gap"
"141","Blitz the Gap","eyes3","Blitz the Gap"
"142","Blitz the Gap","eyes4","Blitz the Gap"
"143","Blitz the Gap","eyes5","Blitz the Gap"
"144","Blitz the Gap","eyes6","Blitz the Gap"
"145","Blitz the Gap","eyes7","Blitz the Gap"
"146","Blitz the Gap","eyes8","Blitz the Gap"
"147","Blitz the Gap","fariz_ahmadov","Blitz the Gap"
"148","Blitz the Gap","five_lined","Blitz the Gap"
"149","Blitz the Gap","fmathieu0069","Blitz the Gap"
"150","Blitz the Gap","fmmorgan26","Blitz the Gap"
"151","Blitz the Gap","forestcatboynom","Blitz the Gap"
"152","Blitz the Gap","fredisoutside","Blitz the Gap"
"153","Blitz the Gap","friesen5000","Blitz the Gap"
"154","Blitz the Gap","frogspotter","Blitz the Gap"
"155","Blitz the Gap","frostfox","Blitz the Gap"
"156","Blitz the Gap","frousseu","Blitz the Gap"
"157","Blitz the Gap","gab_bibeau","Blitz the Gap"
"158","Blitz the Gap","gabrielle182","Blitz the Gap"
"159","Blitz the Gap","gardenspade13","Blitz the Gap"
"160","Blitz the Gap","gary-james","Blitz the Gap"
"161","Blitz the Gap","gatonauto","Blitz the Gap"
"162","Blitz the Gap","gendgrr","Blitz the Gap"
"163","Blitz the Gap","genevieveboudreau","Blitz the Gap"
"164","Blitz the Gap","georginat","Blitz the Gap"
"165","Blitz the Gap","ggraydon","Blitz the Gap"
"166","Blitz the Gap","gilpaul","Blitz the Gap"
"167","Blitz the Gap","giulia_butera","Blitz the Gap"
"168","Blitz the Gap","glaroc","Blitz the Gap"
"169","Blitz the Gap","gonzandrew","Blitz the Gap"
"170","Blitz the Gap","gottacatchenall","QCBS Grantees"
"171","Blitz the Gap","grapefruits14","Blitz the Gap"
"172","Blitz the Gap","grenouillesue","Blitz the Gap"
"173","Blitz the Gap","gtrottier","Blitz the Gap"
"174","Blitz the Gap","guillaumer1","Blitz the Gap"
"175","Blitz the Gap","gyoo1","Blitz the Gap"
"176","Blitz the Gap","halifax_ingrid","Blitz the Gap"
"177","Blitz the Gap","hannadv","Blitz the Gap"
"178","Blitz the Gap","hawkbander","Blitz the Gap"
"179","Blitz the Gap","hazard2322","Blitz the Gap"
"180","Blitz the Gap","heatherpickard","Blitz the Gap"
"181","Blitz the Gap","hipstermama","Blitz the Gap"
"182","Blitz the Gap","hobbiesera","Blitz the Gap"
"183","Blitz the Gap","hproctor","Blitz the Gap"
"184","Blitz the Gap","huwalu_ka_using","Blitz the Gap"
"185","Blitz the Gap","i_henderson_404","Blitz the Gap"
"186","Blitz the Gap","iadams","Blitz the Gap"
"187","Blitz the Gap","ianmanning","Blitz the Gap"
"188","Blitz the Gap","imsarfaroz","Blitz the Gap"
"189","Blitz the Gap","inatter","Blitz the Gap"
"190","Blitz the Gap","inaturalist-l4nhu","Blitz the Gap"
"191","Blitz the Gap","inhalethewild","Blitz the Gap"
"192","Blitz the Gap","iodanem","Blitz the Gap"
"193","Blitz the Gap","irisduvivier","QCBS Grantees"
