"","user_login","max_year","min_year","BTG","primary_group"
"1","electronelle","2025","2025",FALSE,NA
"2","meeshp","2025","2025",FALSE,NA
"3","hollyostheimer","2025","2025",FALSE,NA
"4","mammothlady","2025","2025",FALSE,NA
"5","issybrockk","2025","2025",FALSE,NA
"6","mercman53","2025","2025",FALSE,NA
"7","sebsdad","2025","2025",FALSE,NA
"8","dlindeman","2025","2025",FALSE,NA
"9","tdevine4","2025","2025",FALSE,NA
"10","ellaw2","2025","2025",FALSE,NA
"11","naturewithniall","2025","2025",FALSE,NA
"12","mikeschultz","2025","2025",FALSE,NA
"13","brynkostamo","2025","2025",FALSE,NA
"14","oliviaburke","2025","2025",FALSE,NA
"15","ekingdon9","2025","2025",FALSE,NA
"16","mossymax","2025","2025",FALSE,NA
"17","meggkraus","2025","2025",FALSE,NA
"18","christheodoropoulos","2025","2025",FALSE,NA
"19","lucasfletcher","2025","2025",FALSE,NA
"20","ryanwmcbeth","2025","2025",FALSE,NA
"21","maddiehatfield","2025","2025",FALSE,NA
"22","eamonma","2025","2025",FALSE,NA
"23","arikestrel","2025","2025",FALSE,NA
"24","alextreeson","2025","2025",FALSE,NA
"25","mackenzie162","2025","2025",FALSE,NA
"26","eouellette","2025","2025",FALSE,NA
"27","eoh1234","2025","2025",FALSE,NA
"28","madelene_gamage","2025","2025",FALSE,NA
"29","lilytallulah8","2025","2025",FALSE,NA
"30","randomcrow","2025","2025",FALSE,NA
"31","shulginmingus","2025","2025",FALSE,NA
"32","michaela-o","2025","2025",FALSE,NA
"33","kaylaadelegroening","2025","2025",FALSE,NA
"34","izzynich","2025","2025",FALSE,NA
"35","sarahskitch","2025","2025",FALSE,NA
"36","kestrelcody","2025","2025",FALSE,NA
"37","willowallo","2025","2025",FALSE,NA
"38","islandcryptid","2025","2025",FALSE,NA
"39","maxbergeron","2025","2025",FALSE,NA
"40","ticrabe99","2025","2025",FALSE,NA
"41","tasnuva","2025","2025",FALSE,NA
"42","kaitlynlenhart","2025","2025",FALSE,NA
"43","tanu_raya","2025","2025",FALSE,NA
"44","ianspeaking","2025","2025",FALSE,NA
"45","rebecca_pannett","2025","2025",FALSE,NA
"46","claudiasnaturejournal","2025","2025",FALSE,NA
"47","mayas2002","2025","2025",FALSE,NA
"48","maddisonreist","2025","2025",FALSE,NA
"49","jamesjunyuliu","2025","2025",FALSE,NA
"50","bortthwick","2025","2025",FALSE,NA
"51","mlynch03","2025","2025",FALSE,NA
"52","danielleblair","2025","2025",FALSE,NA
"53","carola13a","2025","2025",FALSE,NA
"54","f_covert","2025","2025",FALSE,NA
"55","altantalidou","2025","2025",FALSE,NA
"56","xinlan04","2025","2025",FALSE,NA
"57","seal1999","2025","2025",FALSE,NA
"58","mrstreemeister","2025","2025",FALSE,NA
"59","sanaah0330","2025","2025",FALSE,NA
"60","kayla49117","2025","2025",FALSE,NA
"61","reforestlondon","2025","2025",FALSE,NA
"62","sagewilson97","2025","2025",FALSE,NA
"63","hope_amelia","2025","2025",FALSE,NA
"64","alyssamullin","2025","2025",FALSE,NA
"65","joshfrogs","2025","2025",FALSE,NA
"66","jaydensimpson","2025","2025",FALSE,NA
"67","struggling_fish_boy","2025","2025",FALSE,NA
"68","kristenforeman","2025","2025",FALSE,NA
"69","snpriest","2025","2025",FALSE,NA
"70","haldimandstewardshipcouncil","2025","2025",FALSE,NA
"71","dogswan","2025","2025",FALSE,NA
"72","mola2","2025","2025",FALSE,NA
"73","felixandnoemie","2025","2025",FALSE,NA
"74","liamhodgins","2025","2025",FALSE,NA
"75","henry1ee","2025","2025",FALSE,NA
"76","gurvinder1","2025","2025",FALSE,NA
"77","hareeshn7","2025","2025",FALSE,NA
"78","mojosunthesis","2025","2025",FALSE,NA
"79","brocklun","2025","2025",FALSE,NA
"80","emmabaycroft","2025","2025",FALSE,NA
"81","papiwillas","2025","2025",FALSE,NA
"82","billkatz","2025","2025",FALSE,NA
"83","grace_clara","2025","2025",FALSE,NA
"84","salturn","2025","2025",FALSE,NA
"85","emmablack123829391919","2025","2025",FALSE,NA
"86","jacke206","2025","2025",FALSE,NA
"87","sighless","2025","2025",FALSE,NA
"88","alisondeng","2025","2025",FALSE,NA
"89","heidischulte","2025","2025",FALSE,NA
"90","alisontucker","2025","2025",FALSE,NA
"91","silekaf","2025","2025",FALSE,NA
"92","anathebanana","2025","2025",FALSE,NA
"93","natures_fury","2025","2025",FALSE,NA
"94","yash586","2025","2025",FALSE,NA
"95","michelleyun","2025","2025",FALSE,NA
"96","keiramckenzie","2025","2025",FALSE,NA
"97","simran2724","2025","2025",FALSE,NA
"98","jocelynheywood","2025","2025",FALSE,NA
"99","ngstclair","2025","2025",FALSE,NA
"100","danikab","2025","2025",FALSE,NA
"101","paul_karges","2025","2025",FALSE,NA
"102","jigdug","2025","2025",FALSE,NA
"103","chloehu","2025","2025",FALSE,NA
"104","warnerabby","2025","2025",FALSE,NA
"105","sophie70641","2025","2025",FALSE,NA
"106","danbeaudette16","2025","2025",FALSE,NA
"107","wchan_8906715","2025","2025",FALSE,NA
"108","tallan11","2025","2025",FALSE,NA
"109","rosiepopescu","2025","2025",FALSE,NA
"110","charismatic_megaflora","2025","2025",FALSE,NA
"111","adeveau2000","2025","2025",FALSE,NA
"112","buvan","2025","2025",FALSE,NA
"113","naomi18478","2025","2025",FALSE,NA
"114","colegetz","2025","2025",FALSE,NA
"115","steonix","2025","2025",FALSE,NA
"116","mcuell","2025","2025",FALSE,NA
"117","caldfir","2025","2025",FALSE,NA
"118","kristen-rose","2025","2025",FALSE,NA
"119","brendan_hunt77","2025","2025",FALSE,NA
"120","irislmoore","2025","2025",FALSE,NA
"121","bringpihome","2025","2025",FALSE,NA
"122","breeannphillips","2025","2025",FALSE,NA
"123","maureen81589","2025","2025",FALSE,NA
"124","swallowtailcharlie","2025","2025",FALSE,NA
"125","tom_whitfield","2025","2025",FALSE,NA
"126","spacecow99","2025","2025",FALSE,NA
"127","asselina","2025","2025",FALSE,NA
"128","wjohnny","2025","2025",FALSE,NA
"129","wheezie1234","2025","2025",FALSE,NA
"130","elmain","2025","2025",FALSE,NA
"131","jeanette89219","2025","2025",FALSE,NA
"132","nschwarz","2025","2025",FALSE,NA
"133","obrehamfamily","2025","2025",FALSE,NA
"134","iqra67746","2025","2025",FALSE,NA
"135","juliacrvz","2025","2025",FALSE,NA
"136","emmabseeking","2025","2025",FALSE,NA
"137","ebaker24","2025","2025",FALSE,NA
"138","cassmill","2025","2025",FALSE,NA
"139","meijia1","2025","2025",FALSE,NA
"140","antarctica4ever","2025","2025",FALSE,NA
"141","sandrine_roy","2025","2025",FALSE,NA
"142","maude26618","2025","2025",FALSE,NA
"143","ldef2016","2025","2025",FALSE,NA
"144","rachel-c","2025","2025",FALSE,NA
"145","manickamscience","2025","2025",FALSE,NA
"146","naoward","2025","2025",FALSE,NA
"147","jaimeleeyork2","2025","2025",FALSE,NA
"148","teranli123","2025","2025",FALSE,NA
"149","taraw22","2025","2025",FALSE,NA
"150","hazard2322","2025","2025",TRUE,"Blitz the Gap"
"151","joannball","2025","2025",FALSE,NA
"152","emsimard","2025","2025",FALSE,NA
"153","raphaelle_houtart","2025","2025",TRUE,"QCBS Grantees"
"154","meliameadow","2025","2025",TRUE,"Blitz the Gap"
"155","danders","2025","2025",FALSE,NA
"156","fancyplantsy","2025","2025",FALSE,NA
"157","s_qyl","2025","2025",FALSE,NA
"158","samantha2637","2025","2025",FALSE,NA
"159","bryan3526","2025","2025",TRUE,"CWF Bioblitzes"
"160","ewezeman","2025","2025",FALSE,NA
"161","medinav","2025","2025",FALSE,NA
"162","ynotfb","2025","2025",FALSE,NA
