"","group","user_login","primary_group"
"1","Blitz the Gap","a_dumas","Blitz the Gap"
"2","Blitz the Gap","a_mammal","CWF Bioblitzes"
"3","Blitz the Gap","aaronveale","Blitz the Gap"
"4","Blitz the Gap","aazide","Blitz the Gap"
"5","Blitz the Gap","abbyhyde","BC Biodiversity 2025 Team"
"6","Blitz the Gap","adam_kalab","CWF Bioblitzes"
"7","Blitz the Gap","adamwargon","Blitz the Gap"
"8","Blitz the Gap","adhd_gremlin","Blitz the Gap"
"9","Blitz the Gap","aegolius99","Blitz the Gap"
"10","Blitz the Gap","agigeroff","Blitz the Gap"
"11","Blitz the Gap","aiva","GCB Grantees"
"12","Blitz the Gap","ajones_mcgill","QCBS Grantees"
"13","Blitz the Gap","ajphip","CWF Bioblitzes"
"14","Blitz the Gap","alain49251","Blitz the Gap"
"15","Blitz the Gap","alex1702","Blitz the Gap"
"16","Blitz the Gap","alexlapierre","Blitz the Gap"
"17","Blitz the Gap","alexpitch1","Blitz the Gap"
"18","Blitz the Gap","alexvpace","Blitz the Gap"
"19","Blitz the Gap","allanf","Blitz the Gap"
"20","Blitz the Gap","allison300","Blitz the Gap"
"21","Blitz the Gap","amberstjames","Blitz the Gap"
"22","Blitz the Gap","amyfrostwicks","Blitz the Gap"
"23","Blitz the Gap","andreasara","Blitz the Gap"
"24","Blitz the Gap","andrewcreese","Campus Nature Challenge"
"25","Blitz the Gap","angelamac","Blitz the Gap"
"26","Blitz the Gap","ann2023","Blitz the Gap"
"27","Blitz the Gap","anna_elkins","Blitz the Gap"
"28","Blitz the Gap","annaananas","Blitz the Gap"
"29","Blitz the Gap","annabel_w","Blitz the Gap"
"30","Blitz the Gap","annaoflynn","Blitz the Gap"
"31","Blitz the Gap","anthonyzerafa","Blitz the Gap"
"32","Blitz the Gap","aparshyn","Blitz the Gap"
"33","Blitz the Gap","april-kr","Blitz the Gap"
"34","Blitz the Gap","aquatark","Blitz the Gap"
"35","Blitz the Gap","ariane113","Blitz the Gap"
"36","Blitz the Gap","arthrowepoda","Blitz the Gap"
"37","Blitz the Gap","arthur_ab_frogman","CWF Bioblitzes"
"38","Blitz the Gap","ash_uma","Blitz the Gap"
"39","Blitz the Gap","ashleyferns","Blitz the Gap"
"40","Blitz the Gap","atl_nature_2022","Blitz the Gap"
"41","Blitz the Gap","audrey346","Blitz the Gap"
"42","Blitz the Gap","audreylemay","Blitz the Gap"
"43","Blitz the Gap","azemax","Blitz the Gap"
"44","Blitz the Gap","bclarkston","Blitz the Gap"
"45","Blitz the Gap","beckeril","Blitz the Gap"
"46","Blitz the Gap","beespeaker","Blitz the Gap"
"47","Blitz the Gap","beetlejuiced","Blitz the Gap"
"48","Blitz the Gap","bentleycolwill","Blitz the Gap"
"49","Blitz the Gap","bevwigney","Blitz the Gap"
"50","Blitz the Gap","bigguysullivan","Blitz the Gap"
"51","Blitz the Gap","bigweld","Blitz the Gap"
"52","Blitz the Gap","biophiliabc","Blitz the Gap"
"53","Blitz the Gap","blakeweis","Blitz the Gap"
"54","Blitz the Gap","bminion03","Blitz the Gap"
"55","Blitz the Gap","bo_curtis_","Blitz the Gap"
"56","Blitz the Gap","bobl2","Blitz the Gap"
"57","Blitz the Gap","bobmcd","Blitz the Gap"
"58","Blitz the Gap","boneslikesbirds","Campus Nature Challenge"
"59","Blitz the Gap","bretta79","Blitz the Gap"
"60","Blitz the Gap","brogan_stewart","QCBS Grantees"
"61","Blitz the Gap","bstarzomski","BC Biodiversity 2025 Team"
"62","Blitz the Gap","bugsnslugs","Blitz the Gap"
"63","Blitz the Gap","c_harper_ott","Blitz the Gap"
"64","Blitz the Gap","c_omelon","Blitz the Gap"
"65","Blitz the Gap","caffeyian","Blitz the Gap"
"66","Blitz the Gap","calebcatto","Blitz the Gap"
"67","Blitz the Gap","camdiaz","Blitz the Gap"
